অভ্যর্থনাকারী	obhyorthonakari	ovvorthonakari	obhyarthonakari	obhyortho-nakari	obhyarthanakari
পরিকল্পনাপ্রণয়ন	porikolponapronoyon	parikalpanapranayan	porikolpona-pronoyon	parikalpana-pranayan	porikolponapronoyon
পরিচ্ছন্নপরিবেশ	poricchonnoporibesh	parichchhannaparibesh	poricchonno-poribesh	parichchhanna-paribesh	poricchonnoporibesh
পরিসংখ্যানভিত্তিক	porishongkhanbhittik	parisankhyanabhittik	porishongkhan-bhittik	parisankhyana-bhittik	porishongkhanbhittik
পর্যবেক্ষণপ্রক্রিয়া	porjobekkhonprokriya	paryabekshanaprakriya	porjobekkhon-prokriya	paryabekshana-prakriya	porjobekkhonprokriya
পর্যায়ক্রমউন্নয়ন	porjaykromounnoyon	paryayakramaunnayan	porjay-kromo-unnoyon	paryaya-krama-unnayana	porjaykromounnoyon
পুনর্নির্মাণপ্রকল্প	punornirmanprokolpo	punarnirmanaprakalpa	punor-nirman-prokolpo	punar-nirmana-prakalpa	punornirmanprokolpo
পূর্বাভাসনির্ভর	purbabhashnirvor	purvabhasanirbhar	purbo-bhash-nirvor	purva-bhasha-nirbhar	purbabhashnirvor
প্রতিকূলতামোকাবিলা	protikulotamokabila	pratikulatamokabila	protikulota-mokabila	pratikulata-mokabila	protikulotamokabila
প্রতিবাদমুখর	protibadmukhor	pratibadamukhar	protibad-mukhor	pratibada-mukhar	protibadmukhor
প্রতিষ্ঠানপ্রতিনিধি	protishthanprotinidhi	pratishthanapratinidhi	protishthan-protinidhi	pratishthana-pratinidhi	protishthanprotinidhi
প্রত্নতাত্ত্বিকনিদর্শন	protnotattwiknidorshon	pratnatattwikanidarshan	protno-tattwik-nidorshon	pratna-tattwika-nidarshan	protnotattwiknidorshon
প্রত্যয়নযোগ্যতা	prottoyonjoggotA	pratyayanayoggyata	prottoyon-joggotA	pratyayana-yoggyata	prottoyonjoggotA
প্রধানঅতিথিবৃন্দ	prodhanotithibrindo	pradhana-atithibrinda	prodhan-atithi-brindo	pradhana-atithi-brinda	prodhanotithibrindo
প্রবেশাধিকারসংরক্ষণ	probeshadhikarshongrokkhon	prabeshadhikarasangrakshan	probesh-adhikar-shongrokkhon	prabesha-adhikara-sangrakshan	probeshadhikarshongrokkhon
প্রবীণনাগরিকদের	probinnagorikder	prabinanagarikder	probin-nagorik-der	prabina-nagarik-der	probinnagorikder
প্রমাণভিত্তিকসিদ্ধান্ত	promanbhittikshiddhanto	pramanabhittikasiddhanta	proman-bhittik-shiddhanto	pramana-bhittika-siddhanta	promanbhittikshiddhanto
প্রশাসনসংক্রান্ত	proshashonshongkranto	prashasanasamkranta	proshashon-shongkranto	prashasana-samkranta	proshashonshongkranto
প্রশিক্ষণকার্যক্রম	proshikkhonkarjokrom	prashikshanakaryakram	proshikkhon-karjo-krom	prashikshana-karya-kram	proshikkhonkarjokrom
প্রাকৃতিকপরিবেশ	prakritikoporibesh	prakritikaparibesh	prakritiko-poribesh	prakritika-paribesh	prakritikoporibesh
প্রাণিসম্পদউন্নয়ন	pranisompodunnoyon	pranisampadaunnayan	prani-shompod-unnoyon	prani-sampada-unnayana	pranisompodunnoyon
ফলপ্রসূকার্যক্রম	folproshukarjokrom	phalaprasukaryakram	folproshu-karjo-krom	phala-prasu-karya-kram	folproshukarjokrom
বক্তৃতাপ্রতিযোগিতা	boktritaprotijogita	baktritapratijogita	boktrita-protijogita	baktrita-pratijogita	boktritaprotijogita
বঞ্চিতসম্প্রদায়	bonchitoshomproday	banchitasampraday	bonchito-shomproday	banchita-sampraday	bonchitoshomproday
বদ্ধপরিকরভাবে	boddhoporikorvabe	baddhaprikarabhabe	boddho-porikor-vabe	baddha-parikara-bhabe	boddhoporikorvabe
বর্ধিষ্ণুঅর্থনীতি	bordhishnuorthoniti	bardhishnu-arthaniti	bordhishnu-orthoniti	bardhishnu-arthaniti	bordhishnuorthoniti
বহুমুখীপ্রতিভা	bohumukhiprotibha	bahumukhipratibha	bohu-mukhi-protibha	bahu-mukhi-pratibha	bohumukhiprotibha
বহিরাগতপ্রভাব	bohiragotoprobhab	bahiragataprabhav	bohira-goto-probhab	bahiragata-prabhav	bohiragotoprobhab
বাণিজ্যচুক্তিভিত্তিক	banijjochuktibhittik	banijyachuktibhittik	banijjo-chukti-bhittik	banijya-chukti-bhittik	banijjochuktibhittik
বিচ্ছিন্নঅঞ্চল	bichchhinnoonchol	bichchhinna-anchal	bichchhinno-onchol	bichchhinna-anchal	bichchhinnoonchol
বিজ্ঞপ্তিপ্রকাশ	biggoptiprokash	bigyaptiprakash	biggopti-prokash	bigyapti-prakash	biggoptiprokash
বিদ্যুৎউৎপাদন	bidyutoutpadon	vidyututpadan	bidyut-utpadon	vidyut-utpadana	bidyutoutpadon
বিনিয়োগযোগ্যতা	biniyogjoggotA	biniyogayoggyata	biniyog-joggotA	biniyoga-yoggyata	biniyogjoggotA
বিপন্নপ্রজাতি	biponnoprojati	bipannaprajati	biponno-projati	bipanna-prajati	biponnoprojati
বিভাগভিত্তিকভাবে	bibhagbhittikovabe	bibhagabhittikabhabe	bibhag-bhittiko-vabe	bibhaga-bhittika-bhabe	bibhagbhittikovabe
বিরোধপূর্ণপরিস্থিতি	birodhpurnoporishthiti	virodhapurnaparishthiti	birodh-purno-porishthiti	virodha-purna-parishthiti	birodhpurnoporishthiti
বিশ্বব্যাপীসংকট	bishshobyapishongkot	vishwabyapisankat	bishsho-byapi-shongkot	vishwa-byapi-sankata	bishshobyapishongkot
বিষ্ফোরণপ্রতিরোধ	bishphoronprotirodh	vishphoranapratirodh	bishphoron-protirodh	vishphorana-pratirodha	bishphoronprotirodh
বিস্তারিতপর্যালোচনা	bistaritoporjalochona	bistaritaparyalochana	bistarito-porjalochona	bistarita-paryalocana	bistaritoporjalochona
বৃক্ষচ্ছেদনরোধ	brikkhochchhedonrodh	vrikshachchhedanarodh	brikkho-cchhedon-rodh	vriksha-chchhedana-rodha	brikkhochchhedonrodh
বৈষম্যহীনসমাজ	boishommyohinshomaj	vaishamyahinasamaj	boishommo-hin-shomaj	vaishamya-hina-samaj	boishommyohinshomaj
ব্যক্তিত্ববিকাশ	bektittobikash	byaktittwavikash	bektitto-bikash	byaktitwa-vikash	bektittobikash
ব্যবস্থাপনাকৌশল	bebosthaponakoushol	byabasthapanakaushal	bebosthapona-koushol	byabasthapana-kaushal	bebosthaponakoushol
ব্যবহারকারীবান্ধব	beboharkaribandhob	byabaharikaribandhab	bebohar-kari-bandhob	byabahari-kari-bandhava	beboharkaribandhob
ব্যাখ্যাযোগ্যতা	byakkhajoggotA	byakhyayoggyata	byakkha-joggotA	byakhya-yoggyata	byakkhajoggotA
ভবিষ্যৎপরিকল্পনা	bhobishshotporikolpona	bhavishyatparikalpana	bhobishshot-porikolpona	bhavishya-parikalpana	bhobishshotporikolpona
ভৌগোলিকবৈচিত্র্য	bhougolicoboichitro	bhaugolikavaichitra	bhougolic-boichitro	bhaugolika-vaichitra	bhougolicoboichitro
ভ্রমণবৃত্তান্তমূলক	bhromonbrittantomulok	bhramanavrittantamulaka	bhromon-brittanto-mulok	bhramana-vrittanta-mulaka	bhromonbrittantomulok
মধ্যস্থতাপ্রদান	moddhosthotaprodan	madhyasthatapradan	moddhosthota-prodan	madhyasthata-pradan	moddhosthotaprodan
মন্ত্রণালয়ভিত্তিক	montronaloybhittik	mantranalayabhittik	montronaloy-bhittik	mantranalaya-bhittik	montronaloybhittik
মনোবৈজ্ঞানিক	monoboigganik	manavaigyanik	mono-boigganik	mano-vaigyanik	monoboigganik
মহাকাশগবেষণা	mohakashgobeshona	mahakashagabeshana	moha-kash-gobeshona	maha-kasha-gabeshana	mohakashgobeshona
মহানগরভিত্তিক	mohanogorbhittik	mahanagarabhittik	moha-nogor-bhittik	maha-nagara-bhittik	mohanogorbhittik
মুদ্রাস্ফীতিনিয়ন্ত্রণ	mudrashphitiniyontron	mudrasphitiniyantran	mudrashphiti-niyontron	mudra-sphiti-niyantrana	mudrashphitiniyontron
মৌলিকঅবকাঠামো	moulikobokathamo	maulikabakashamo	mouliko-obokathamo	maulika-abakathamo	moulikobokathamo
যন্ত্রচালিতব্যবস্থা	jontrochalitobebostha	yantrachalitabyabastha	jontro-chalito-bebostha	yantra-chalita-byabastha	jontrochalitobebostha
যথার্থমূল্যায়ন	jotharthomullayon	yatharthamulyayan	jothartho-mullayon	yathartha-mulyayana	jotharthomullayon
যৌথব্যবস্থাপনা	jouthobebosthapona	yauthabyabasthapana	joutho-bebosthapona	yautha-byabasthapana	jouthobebosthapona
রক্তসঞ্চালনপ্রক্রিয়া	roktoshonchalonprokriya	raktasanchalanaprakriya	rokto-shonchalon-prokriya	rakta-sanchalana-prakriya	roktoshonchalonprokriya
রাষ্ট্রীয়স্বার্থ	rashtriyoshwartho	rashtriyaswartha	rashtriyo-shwartho	rashtriya-swartha	rashtriyoshwartho
রূপান্তরমূলক	rupantormulok	rupantaramulaka	rupan-tor-mulok	rupantara-mulaka	rupantormulok
লক্ষ্যভিত্তিকপরিকল্পনা	lokkhobhittikoporikolpona	lakshyabhittikaparikalpana	lokkho-bhittiko-porikolpona	lakshya-bhittika-parikalpana	lokkhobhittikoporikolpona
লব্ধপ্রতিষ্ঠব্যক্তি	lobdhoprotishthobekti	labdhapratishthabyakti	lobdho-protishtho-bekti	labdha-pratishtha-byakti	lobdhoprotishthobekti
শক্তিসঞ্চয়ব্যবস্থা	shoktishonchoybebostha	shaktisanchayabyabastha	shokti-shonchoy-bebostha	shakti-sanchaya-byabastha	shoktishonchoybebostha
শব্দভাণ্ডারসমৃদ্ধ	shobdobhandarshomriddho	shabdabhandarasamriddha	shobdo-bhandar-shomriddho	shabda-bhandara-samriddha	shobdobhandarshomriddho
শরণার্থীশিবিরসমূহ	shoronarthishibirshomuho	sharanarthisibirasamuha	shoronarthi-shibir-shomuho	sharanarthi-sibira-samuha	shoronarthishibirshomuho
শারীরবৃত্তীয়প্রক্রিয়া	sharirbrittiyoprokriya	shariravrittiyaprakriya	sharir-brittiyo-prokriya	sharira-vrittiya-prakriya	sharirbrittiyoprokriya
শিক্ষাপ্রতিষ্ঠানসমূহ	shikkhaprotishthanshomuho	shikshapratishthanasamuha	shikkha-protishthan-shomuho	shiksha-pratishthana-samuha	shikkhaprotishthanshomuho
শিল্পভিত্তিকঅর্থনীতি	shilpobhittikorthoniti	shilpabhittikarthaniti	shilpo-bhittik-orthoniti	shilpa-bhittika-arthaniti	shilpobhittikorthoniti
শৃঙ্খলাপরিপন্থী	shrinkholaporiponthi	shrinkhalapariponthi	shrinkhola-poriponthi	shrinkhala-paripanthi	shrinkholaporiponthi
শ্রেণিবিন্যাসপ্রক্রিয়া	shrenibinnyashprokriya	shrenivinyasaprakriya	shreni-binnyash-prokriya	shreni-vinyasa-prakriya	shrenibinnyashprokriya
শ্রদ্ধানিবেদন	shraddhanibedon	shraddhanibedan	shraddha-nibedon	shraddha-nibedana	shraddhanibedon
ষড়যন্ত্রপ্রবণ	shorojontroprobon	shadayantraprabon	shoro-jontro-probon	shadayantra-praban	shorojontroprobon
সংকটকালীনপরিস্থিতি	shongkotkalinoporishthiti	sankatkalinaparishthiti	shongkot-kalino-porishthiti	sankata-kalina-parishthiti	shongkotkalinoporishthiti
সংখ্যাতাত্ত্বিক	shongkhyatattwik	sankhyatattwik	shongkhya-tattwik	sankhya-tattwika	shongkhyatattwik
সংবিধানসংশোধন	shongbidhanShongshodhon	sambidhanasanshodhan	shongbidhan-shongshodhon	sambidhana-sanshodhana	shongbidhanShongshodhon
সঙ্গীতপরিবেশনা	shonggitoporibeshona	sangitaparibeshana	shonggito-poribeshona	sangita-paribeshana	shonggitoporibeshona
সংশ্লিষ্টব্যক্তিবর্গ	shongshlishtobektiborgo	sangshlishtabyaktivarga	shongshlishto-bekti-borgo	sangshlishta-byakti-varga	shongshlishtobektiborgo
সম্পর্কব্যবস্থাপনা	shomporkobebosthapona	samparkabyabasthapana	shomporko-bebosthapona	samparka-byabasthapana	shomporkobebosthapona
সম্প্রসারণপ্রক্রিয়া	shomprosharonprokriya	samprasaranaprakriya	shomprosharon-prokriya	samprasarana-prakriya	shomprosharonprokriya
সম্পূর্ণস্বয়ংক্রিয়	shompurnoshwoyongkriyo	sampurnaswayangkriya	shompurno-shwoyongkriyo	sampurna-swayangkriya	shompurnoshwoyongkriyo
সম্মানজনকভাবে	shommanjonokvabe	sammanajanakabhabe	shomman-jonoko-vabe	sammAna-janaka-bhabe	shommanjonokvabe
সম্মিলিতসিদ্ধান্ত	shommilitoshiddhanto	sammilitasiddhanta	shommilito-shiddhanto	sammIlita-siddhanta	shommilitoshiddhanto
সম্ভাব্যসমাধান	shombhabbyoshomadhan	sambhavyasamadhan	shombhabbo-shomadhan	sambhavya-samadhana	shombhabbyoshomadhan
সম্বন্ধীয়তথ্য	shombondhiyotottho	sambandhiyatathya	shombondhiyo-tottho	sambandhiya-tathya	shombondhiyotottho
সর্বজনীনশিক্ষা	shorbajoninshikkha	sarbajaniNashiksha	shorbajonin-shikkha	sarbajaniNa-shiksha	shorbajoninshikkha
সর্বোত্তমব্যবস্থা	shorbottombebostha	sarbottamabyabastha	shorbottam-bebostha	sarbottama-byabastha	shorbottombebostha
সাংস্কৃতিকসম্প্রীতি	shangskritikshompriti	sanskritikasampriti	shangskritik-shompriti	sanskritika-sampriti	shangskritikshompriti
সাক্ষরতারহার	shakkhorotarhar	saksharatarahar	shakkhorota-har	saksharata-hara	shakkhorotarhar
সাধারণজনগণের	shadharonojonogoner	sadharanajanaganer	shadharono-jono-goner	sadharana-jana-ganer	shadharonojonogoner
সামগ্রিকউন্নয়ন	shamoggrikounnoyon	samagrikaunnayan	shamoggriko-unnoyon	samagrika-unnayana	shamoggrikounnoyon
সাম্প্রতিকঘটনাবলি	shamprotikoghotonaboli	sampratikaghatanabali	shamprotiko-ghotona-boli	sampratika-ghatana-bali	shamprotikoghotonaboli
সার্বভৌমঅধিকার	sharbobhoumodhikar	sarbabhaumadhikar	sharbo-bhoumo-odhikar	sarva-bhauma-adhikara	sharbobhoumodhikar
সীমান্তসংলগ্ন	shimantoshonglogno	simantasanglagna	shimanto-shonglogno	simanta-sanglagna	shimantoshonglogno
সুবিন্যস্তপরিকল্পনা	subinnyostoporikolpona	suvinayastaparikalpana	su-binnyosto-porikolpona	su-vinyasta-parikalpana	subinnyostoporikolpona
সুসমন্বয়সাধন	shushomonwoyshadhon	susamanwayasadhan	su-shomonwoy-shadhon	su-samanwaya-sadhana	shushomonwoyshadhon
সুস্থতানির্দেশক	susthotanirdeshok	susthatanirdeshak	susthota-nirdeshok	susthata-nirdeshaka	susthotanirdeshok
সৃষ্টিশীলচিন্তাধারা	srishtishilchintadhara	srishtishilachintadhara	srishti-shil-chinta-dhara	srishti-shila-chinta-dhara	srishtishilchintadhara
স্থায়ীসমাধান	sthayishomadhan	sthayisamadhan	sthayi-shomadhan	sthayi-samadhana	sthayishomadhan
স্থাপত্যনির্মাণশৈলী	sthapottyonirmanshoili	sthapatyanirmanashaili	sthapottyo-nirman-shoili	sthapatya-nirmana-shaili	sthapottyonirmanshoili
স্পষ্টভাষায়প্রকাশ	spostobhashayprokash	spashtabhashayaprakash	sposto-bhashay-prokash	spashta-bhashaya-prakash	spostobhashayprokash
স্পর্শকাতরবিষয়	sporshokatorobishoy	sparshakataravishay	sporsho-katoro-bishoy	sparsha-katara-vishaya	sporshokatorobishoy
স্ফূর্তিবর্ধক	sphurtibordhok	sphurtivardhak	sphurti-bordhok	sphurti-vardhak	sphurtibordhok
স্মৃতিচারণমূলক	smriticharonmulok	smriticharanamulaka	smriti-charon-mulok	smriti-charana-mulaka	smriticharonmulok
স্বচ্ছতাবজায়রাখা	swocchhotabojayrakha	swachchhatabajayrakha	swocchhota-bojay-rakha	swachchhata-bajay-rakha	swocchhotabojayrakha
স্বনির্ভরঅর্থনীতি	swonirvororthoniti	swanirbhararthaniti	swonirvor-orthoniti	swanirbhar-arthaniti	swonirvororthoniti
স্বপ্নবাস্তবায়ন	shopnobastobayon	swapnabastabayan	shopno-bastobayon	swapna-bastavayan	shopnobastobayon
স্বল্পসুদঋণ	sholposudrin	swalpasudrin	sholpo-sud-rin	swalpa-sud-rin	sholposudrin
স্বাস্থ্যসেবাব্যবস্থা	shasthyosebabebostha	swasthyasebabyabastha	shasthyo-seba-bebostha	swasthya-seba-byabastha	shasthyosebabebostha
হস্তান্তরপ্রক্রিয়া	hostantorprokriya	hastantaraprakriya	hostantor-prokriya	hastantara-prakriya	hostantorprokriya
হৃদরোগনির্ণয়	hridrognirnoy	hridroganirnoy	hridrog-nirnoy	hridroga-nirnaya	hridrognirnoy
হৃদয়গ্রাহীউপস্থাপনা	hridoygrahiuposthapona	hridayagrahiupasthapana	hridoy-grahi-uposthapona	hridaya-grahi-upasthapana	hridoygrahiuposthapona
হ্রাসমানপ্রবণতা	hrashmanoprobonota	hrasamanaprabonata	hrash-mano-probonota	hrasa-mana-prabanata	hrashmanoprobonota
অসুখ	osukh	oshukh	asukh
বাড়ি	bari	barhi	baari
ঘর	ghor	ghar
দরজা	dorja	dorza	doroja
জানালা	janala	janla	zanala
ছাদ	chad	sad	chhad
দেয়াল	deyal	deoyal	dewal
মেঝে	mejhe	meje
রান্নাঘর	rannaghor	rannaghar
বারান্দা	baranda	barandah	varanda
চেয়ার	chair	cheyar	cheyear
টেবিল	tebil	table	tebl
খাট	khat	khaat
বিছানা	bichana	bisana	bichhana
বালিশ	balish	balis
চাদর	chador	sador	chadar
আলমারি	almari	almarhi	almaari
বাতি	bati	baati
পাখা	pakha	pakhaa
আয়না	ayna	aina	aayna
ভাত	bhat	vat	bhaat
চাল	chal	saal	chaal
ডাল	dal	daal	dhal
মাছ	mach	mas	maach
মাংস	mangsho	mangso	mangsa
ডিম	dim	deem
দুধ	dudh	dud	doodh
পানি	pani	paani
চা	cha	chaa
লবণ	lobon	laban
চিনি	chini	sini
তেল	tel	tal
আটা	ata	atta	aata
রুটি	ruti	roti	rooti
সবজি	shobji	sobji	sobzi
ফল	phol	fol	fal
আম	aam	am
কলা	kola	kala
আলু	alu	aloo	aalu
পেঁয়াজ	peyaj	peaj	piyaj
রসুন	roshun	rosun
মরিচ	morich	moris	moric
হলুদ	holud	holood	halud
মসলা	moshla	mosla	masla
খাবার	khabar	khabaar	khaobar
নাস্তা	nasta	nashta	naasta
মিষ্টি	mishti	misti	mistti
পরিবার	poribar	paribar	poribaar
বাবা	baba	baaba
মা	ma	maa
ভাই	bhai	vai	bhaai
বোন	bon	bone	boon
ছেলে	chele	sele	chhele
মেয়ে	meye	meya	meyee
স্বামী	shami	swami	sami
স্ত্রী	stri	istri	sree
দাদা	dada	daada
দাদি	dadi	daadi
নানা	nana	naana
নানি	nani	naani
চাচা	chacha	chaacha	sasa
মামা	mama	maama
খালা	khala	khaala
ফুফু	fufu	phuphu	fufoo
শ্বশুর	shoshur	sosur	shwoshur
শাশুড়ি	shashuri	sasuri	shashurhi
বাচ্চা	bachcha	baccha	bachha
কাজ	kaj	kaz	kaaj
অফিস	office	ofis	offis
চাকরি	chakri	sakri	chakuri
ব্যবসা	bebsha	byabosa	bebsa
বেতন	beton	betan
বস	bosh	bos	boss
কর্মচারী	kormochari	karmachari	kormocharhi
শ্রমিক	shromik	sromik	srommik
মিটিং	miting	meeting
ছুটি	chuti	suti	chhuti
কাগজ	kagoj	kagaj	kagoz
কলম	kolom	kalam	kolm
বই	boi	boy
কম্পিউটার	kompiutar	computer	kompiuter
টাকা	taka	taaka
পয়সা	poysa	poisa	poyesa
দাম	dam	daam
বাজার	bajar	bazar	baajar
দোকান	dokan	dukan	dokaan
হিসাব	hishab	hisab	hishaab
ব্যাংক	bank	byank	bangk
ঋণ	rin	reen	rrin
লাভ	labh	lav	laab
খরচ	khoroch	khorosh	kharach
কেনা	kena	kaena	keena
বেচা	becha	besa	bacha
সময়	shomoy	somoy	samay
ঘণ্টা	ghonta	ghanta
মিনিট	minit	minute
দিন	din	deen
রাত	rat	raat
সকাল	shokal	sokal	sakal
দুপুর	dupur	doopur	dupoor
বিকেল	bikel	bikal	bikeal
সন্ধ্যা	shondha	sondha	shondhya
সপ্তাহ	shoptaho	soptaho	saptah
মাস	mash	mas	maash
বছর	bochor	bosor	bachhor
আজ	aj	aaj	az
কাল	kal	kaal
এখন	ekhon	ekhan	akhon
ঘড়ি	ghori	ghari	ghorhi
তারিখ	tarikh	tarik	taarikh
ভ্রমণ	bhromon	vromon	bhraman
গাড়ি	gari	gaari	garhi
বাস	bas	bus	baas
ট্রেন	tren	train
রিকশা	riksha	rickshaw	riksa
বিমান	biman	bimaan	viman
নৌকা	nouka	nowka	noukaa
রাস্তা	rasta	rastaa	raasta
পথ	poth	path
টিকিট	tikit	ticket	tiket
ভাড়া	bhara	vara	bharha
স্টেশন	station	steshon	steson
সাইকেল	saikel	cycle	saykel
যাত্রা	jatra	zatra	jattra
শরীর	shorir	sorir	shoreer
মাথা	matha	mathha	maatha
চোখ	chokh	sokh	chok
কান	kan	kaan
নাক	nak	naak
মুখ	mukh	mookh	muk
হাত	hat	haat
পা	pa	paa
চুল	chul	sul	chool
দাঁত	dat	daat	dnat
জিভ	jibh	jiv	jibbh
গলা	gola	gala	golaa
পেট	pet	peat	pat
বুক	buk	book
আঙুল	angul	aangul	anggul
হৃদয়	ridoy	hridoy	hriday
রক্ত	rokto	rokta	rakto
চামড়া	chamra	samra	chamrha
জামা	jama	zama	jaama
কাপড়	kapor	kapod	kaporh
শাড়ি	shari	sari	sharhi
পাঞ্জাবি	panjabi	panjabee	panzabi
লুঙ্গি	lungi	lunggi	loongi
প্যান্ট	pant	pyant	pyaant
জুতা	juta	joota	juto
মোজা	moja	moza	mojaa
টুপি	tupi	toopi
ওড়না	orna	odna	orhna
গামছা	gamcha	gamsa	gamchha
চশমা	choshma	cosma	chosma
আবহাওয়া	abhawa	abohaoa	abohaowa
বৃষ্টি	brishti	bristi	brishti
রোদ	rod	rode	rood
মেঘ	megh	meg
বাতাস	batash	batas	bataash
ঝড়	jhor	jhod	jhorh
শীত	shit	sit	sheet
গরম	gorom	garom	garam
ঠান্ডা	thanda	thandaa	thnda
বন্যা	bonna	banna	bonya
কুয়াশা	kuyasha	kuasha	kuyasa
আকাশ	akash	akas	aakash
করা	kora	kara	koraa
খাওয়া	khaoya	khawa	khaowa
যাওয়া	jaoya	jawa	zaowa
আসা	asha	asa	aasa
দেখা	dekha	daekha	dekhaa
বলা	bola	bala	bolaa
শোনা	shona	sona	shonaa
নেওয়া	neoya	newa	neowa
দেওয়া	deoya	dewa	deowa
ধরা	dhora	dhara	dhoraa
বসা	bosha	bosa	boshaa
ওঠা	otha	utha	othaa
ঘুমানো	ghumano	ghumanno	ghumaano
হাঁটা	hata	hnata	hanta
দৌড়ানো	dourano	dourhano	dowrano
লেখা	lekha	laekha	lekhaa
পড়া	pora	porha	poraa
শেখা	shekha	sekha	shekhaa
জানা	jana	zana	jaana
বোঝা	bojha	boojha	bujha
ভাবা	bhaba	vaba	bhabaa
চাওয়া	chaoya	chawa	chaowa
পাওয়া	paoya	pawa	paowa
রাখা	rakha	raakha	rakhaa
আনা	ana	aana	anaa
কাটা	kata	kaata	kataa
ধোয়া	dhoya	dhowa	dhooya
খেলা	khela	khelaa	khaela
হাসা	hasha	hasa	haasa
কাঁদা	kada	knada	kanda
ভাঙা	bhanga	vanga	bhangaa
খোলা	khola	kholaa	khula
হওয়া	howa	hoa	hoowa
থাকা	thaka	thakaa	thaaka
পারা	para	paara	paraa
দায়িত্ব	dayitto	daitto	dayittwo	daitwo
ব্যবস্থা	bebostha	byabostha	bebostha	byebostha
ব্যক্তিত্ব	byktitto	bektitto	byaktittwo	bektittwo
ঐতিহ্য	oitijjho	oitihho	oitijhya	oittijjho
বৈশিষ্ট্য	boishishtto	boishishto	boishishtya	boishistto
দৃষ্টিভঙ্গি	drishtivongi	dristivongi	drishtibhongi	drishtivongee
প্রতিষ্ঠান	protisthan	protishthan	protisthan	protishtan
কর্তৃপক্ষ	kortripokkho	kortripokkho	kortrupokkho	kortipokkho
পরিপ্রেক্ষিত	poriprekkhit	poriprekkhito	priprekkhit	poriprekhit
অধিকার	odhikar	adhikar	odhikaar	odikar
স্বাধীনতা	shadhinota	swadhinota	sadhinota	shadhinta
পরাধীনতা	poradhinota	poradhinta	pradhinota	poroadhinota
গণতন্ত্র	gonotontro	gonotontro	gonatantra	gonotontr
সমাজ	shomaj	somaj	shomaz	somaz
সংস্কৃতি	songskriti	sonskriti	shongskriti	songskkriti
সভ্যতা	shovvota	sobbhota	shobbhota	sovvota
ঐতিহাসিক	oitihashik	oitihasik	oittihashik	oitihasic
ইতিহাস	itihash	itihas	ittihash	etihash
ভবিষ্যৎ	bhobishyot	bhobishyot	vobishshot	bhobissot
বর্তমান	bortoman	bartaman	bortomaan	bortman
অতীত	otit	atit	oteet	otito
পরিস্থিতি	poristhiti	poristhithi	pristhiti	porishthiti
অবস্থা	obostha	abostha	obostha	obosta
সিদ্ধান্ত	shiddhanto	siddhanto	shiddhanta	siddhanto
সমস্যা	shomossha	somossha	shomosha	somossha
সমাধান	shomadhan	somadhan	shomadhaan	somadan
পরিকল্পনা	porikolpona	porikolpona	prikolpona	porikalpana
উদ্দেশ্য	uddeshsho	uddeshyo	uddesho
লক্ষ্য	lokkho	lokkhyo	lokhho	lokkho
কারণ	karon	karon	kaaron	karan
ফলাফল	folafol	phalaphal	folafol	folafal
প্রভাব	probhab	prova	probhav	probhab
প্রক্রিয়া	prokriya	prokriya	prokreeya	procriya
পদ্ধতি	poddhoti	poddhoti	poddhati	podhoti
নীতি	niti	neeti	nitti	niiti
আদর্শ	adorsho	adarsho	aadorsho	adorso
মূল্যবোধ	mullobodh	mulyobodh	mullobodh	mullyobodh
নৈতিকতা	noitikota	noitikta	noitikota	noiticota
বিবেক	bibek	bibek	bebek	bibbek
জ্ঞান	gyan	gyaan	ggan	gyan
বিদ্যা	biddya	biddya	bidya	viddya
শিক্ষা	shikkha	sikkha	shikha	shikkkha
গবেষণা	gobeshona	gobeshona	gabeshana	gobesona
গবেষক	gobeshok	gobeshok	gabeshak	gobesok
তত্ত্ব	totto	tottwo	tatva	totto
তথ্য	tottho	tothyo	totho	tathya
উপাত্ত	upatto	upatto	upatta	uppatto
বিশ্লেষণ	bishleshon	bishleshon	bisleshon	bishleshon
পর্যবেক্ষণ	porjobekkhon	poryobekkhon	porjobekhon	porjobekkhon
পরীক্ষা	porikkha	porikha	poriksha	porikkkha
পরীক্ষণ	porikkhon	porikhon	porikshon	porikkhon
প্রমাণ	proman	promaan	proman	pramaan
যুক্তি	jukti	yukti	juktti	zukti
তর্ক	torko	tarka	torka	torok
মতামত	motamot	motamot	matamat	motamat
ধারণা	dharona	dharona	dharana	darona
চিন্তা	chinta	chinta	cinta	chintaa
চেতনা	chetona	chetona	cetona	chetna
অনুভূতি	onuvuti	onubhuti	anubhuti	onuvuti
অভিজ্ঞতা	oviggota	obhiggota	oviggota	abhiggata
দক্ষতা	dokkhota	dokkhota	dakhata	dokhota
যোগ্যতা	joggota	joggota	yogyota	zoggota
ক্ষমতা	khomota	khyomota	khamata	khomta
শক্তি	shokti	sokti	shakti	shoktti
সামর্থ্য	samorthyo	shamorthyo	samortho	shamortho
প্রয়োজন	proyojon	prayojon	proyojon	proyozon
চাহিদা	chahida	chahida	cahida	chaida
সুযোগ	shujog	sujog	shuzog	sujoge
সম্ভাবনা	shombhabona	sombhabona	shombhabna	sombhavona
সম্ভাব্যতা	shombhabbota	sombhabbota	shombhabbyota	sombhavbota
ঝুঁকি	jhuki	jhunki	zhuki	jhuunki
চ্যালেঞ্জ	chyalenj	challenge	chyaleynj	chalenj
